country,total_capacity_mw,total_generation_gwh,total_emissions_tonnes,num_plants,carbon_intensity_gco2_kwh,renewable_capacity_mw,renewable_percentage,dominant_fuel
KOS,1478.0,7768.368,6370.0617600000005,2,820.0000000000001,0.0,0.0,Coal
BWA,746.0,2987.96,2450.1272000000004,2,820.0000000000001,0.0,0.0,Coal
MNG,904.0,4850.33,3816.22397,8,786.7967684673001,100.0,11.061946902654867,Coal
KAZ,18628.0,102839.92,77520.73524,33,753.8000344613259,2360.0,12.669100279149667,Coal
ZAF,50422.7,258550.268,189035.16604,104,731.1350612871923,6363.51,12.620327749208196,Coal
POL,37902.0,152446.33,111431.47324,189,730.9554335614376,4269.0,11.263257875573847,Coal
NER,167.2,467.34,334.39509999999996,7,715.528523130911,7.0,4.186602870813397,Oil
IDN,48751.418,237327.0,158555.73532,178,668.0897467207692,5901.592,12.10547762938916,Coal
MYS,28794.5,164709.19,108897.60502,55,661.1507531546964,2270.5,7.885186407126361,Gas
IND,316088.546,1438873.9288,937033.239624,1589,651.2267828811605,74757.72,23.650879143213245,Coal
ERI,133.19,261.65,170.0725,2,650.0000000000001,0.0,0.0,Oil
GMB,70.4,246.6816,160.34304000000003,2,650.0000000000001,0.0,0.0,Oil
DJI,107.332,376.091328,244.4593632,1,650.0,0.0,0.0,Oil
GNB,18.237,63.902448,41.5365912,1,650.0,0.0,0.0,Oil
ESH,23.4,81.99359999999999,53.29583999999999,1,650.0,0.0,0.0,Oil
LBN,2070.3,3960.5712000000003,2574.37128,7,649.9999999999999,0.0,0.0,Oil
SRB,7958.0,43138.75,27790.48996,12,644.2117576424909,2390.0,30.03267152550892,Coal
CHN,1415067.38,6193117.75,3938909.92728,4235,636.0140540328011,364843.88,25.782792053336713,Coal
MKD,1362.6,4321.84,2720.4706800000004,12,629.4704755381968,562.6,41.288712755027156,Coal
CPV,92.805,318.6587200000001,200.51218800000004,4,629.2380387393761,5.0,5.387640752114649,Oil
CUB,3796.8,12609.31,7884.32928,14,625.2784077796485,19.2,0.5056890012642224,Oil
MUS,989.269,3588.023,2195.38525,23,611.8648765629429,163.28300000000002,16.505419658353794,Oil
AUS,65852.016,276479.27,165699.54854,486,599.3199726691987,18419.6,27.971201367624033,Coal
MAR,8697.56,36882.58,21674.57475,45,587.6642780955128,3419.26,39.31286475747221,Coal
TWN,37211.86,191113.92,110681.42398,39,579.138473953127,4134.86,11.111672461414182,Coal
DNK,8085.2,18424.65,10659.6094,47,578.5515274374276,1673.2,20.69460248355019,Coal
ATA,7.6,26.1924,15.065885999999999,2,575.200668896321,1.0,13.157894736842104,Oil
GRC,14658.65,42245.28,24284.00801,90,574.8336384561778,3933.65,26.835008680881256,Gas
DOM,1858.09,6820.74,3906.98401,15,572.809403378519,392.09000000000003,21.10177655549516,Oil
PHL,20719.3,102813.374,58886.39266,123,572.7503180665971,6497.6,31.360132823020088,Coal
ISR,14665.8,81628.67,46634.55852,59,571.3012170846346,612.8,4.178428725333769,Gas
YEM,1045.0,2807.33,1597.1133,7,568.9082865213566,0.0,0.0,Oil
JAM,792.5,2619.93,1485.02645,10,566.8191325722443,73.5,9.274447949526813,Oil
SAU,84341.55,345439.3,190530.93654,90,551.5612628325729,137.0,0.1624347667312256,Oil
NLD,16993.69,77937.18000000001,42940.20103,71,550.9591318289936,2181.69,12.838235839302708,Gas
MNE,885.5,2009.0,1101.0454000000002,3,548.0564459930315,667.0,75.32467532467533,Hydro
MDG,359.93,1383.18244,756.4849499999999,12,546.9162477221731,137.65,38.24354735643042,Coal
GUY,136.3,503.8752,272.33088,5,540.4728789986091,0.0,0.0,Oil
BEN,60.5,102.42,55.2338,2,539.2872485842609,0.0,0.0,Gas
SYR,7966.0,25443.36,13681.15976,18,537.7104187497249,1505.0,18.89279437609842,Oil
CYP,1468.0,5365.02,2878.9686,3,536.6184282630819,0.0,0.0,Gas
DEU,112040.37488,471782.234,249139.9107,1309,528.0824345327086,21814.02488,19.469789264239562,Coal
THA,39654.3,171956.468,89288.26908,196,519.249261853878,5346.7,13.48327924083895,Gas
IRQ,18160.6,50475.72,26085.51024,28,516.7932273180056,2574.0,14.17354052178893,Gas
LKA,3720.1,15537.03,7942.49024,48,511.1974579440215,1615.1,43.41549958334453,Hydro
TUR,51444.7,260767.28,133050.07345,163,510.2253375116694,15404.1,29.943026200949763,Coal
BIH,3985.5,17617.38,8951.29644,20,508.0946451742541,2205.5,55.33810061472839,Hydro
BGD,11840.0,67875.45,34378.41104,57,506.4925689627104,263.0,2.2212837837837838,Gas
KOR,99472.68,549719.31,278058.84799,132,505.8196845768433,6878.66,6.915124836286707,Coal
VNM,41350.49,178130.66,88948.73128,236,499.34543149393824,18554.49,44.8712699656038,Hydro
TTO,2144.6,12130.720000000001,6055.1872,6,499.1614017964308,0.0,0.0,Gas
LBY,6231.0,24447.67,12114.6191,12,495.53266630316915,0.0,0.0,Gas
SGP,13660.0,53252.05,26181.7776,14,491.65764698260443,0.0,0.0,Gas
BRN,586.0,2600.0699999999997,1274.0343,4,490.0000000000001,0.0,0.0,Gas
TKM,3454.0,4638.54,2272.8846,7,490.0,0.0,0.0,Oil
QAT,10548.0,53987.72,26453.982799999998,12,489.99999999999994,0.0,0.0,Gas
BHR,7586.3,49003.7,24007.50548,8,489.9120980660644,5.0,0.06590828203472049,Gas
KWT,17829.5,58493.77,28654.65872,9,489.8753956190548,10.0,0.05608682240107687,Gas
BLR,8534.9,33965.119999999995,16490.15802,24,485.50271631603243,232.9,2.728795885130465,Gas
MRT,315.804,1164.975216,565.0066804,7,484.9945927090006,63.0,19.94908234221226,Oil
ARE,30327.0,140093.07,67817.45984,30,484.08861223470933,840.0,2.7698090810169154,Gas
TUN,5052.2,27832.62,13448.16784,27,483.18009012446544,196.2,3.883456711927477,Gas
DZA,15873.8,64568.810000000005,31112.68674,59,481.85318484265076,694.8,4.377023775025514,Gas
