country,Biomass_pct,Coal_pct,Cogeneration_pct,Gas_pct,Geothermal_pct,Hydro_pct,Nuclear_pct,Oil_pct,Other_pct,Petcoke_pct,Solar_pct,Storage_pct,Waste_pct,Wave and Tidal_pct,Wind_pct,total_capacity_mw,num_plants,renewable_ratio,fossil_ratio
AFG,0.0,0.0,0.0,13.974380302778238,0.0,79.37115288637499,0.0,0.0,0.0,0.0,6.65446681084678,0.0,0.0,0.0,0.0,300.55,9,0.8602561969722177,0.1397438030277824
AGO,0.0,0.0,0.0,15.280345040049292,0.0,71.93935659739726,0.0,12.780298362553447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1071.18,14,0.7193935659739726,0.2806064340260274
ALB,0.0,0.0,0.0,0.0,0.0,93.59058207979072,0.0,0.0,6.409417920209287,0.0,0.0,0.0,0.0,0.0,0.0,1529.0,8,0.9359058207979072,0.0
ARE,0.0,0.0,0.0,97.23019091898308,0.0,0.0,0.0,0.0,0.0,0.0,2.7698090810169154,0.0,0.0,0.0,0.0,30327.0,30,0.027698090810169152,0.9723019091898308
ARG,0.0,14.758266766837586,0.0,39.62509858163073,0.0,30.382177249354275,5.356533188523627,3.643806767516342,4.024114547289848,0.0,1.5668543195244664,0.0,0.0,0.0,0.6431485793231317,32913.079,236,0.32592180148201877,0.5802717211598466
ARM,0.0,0.0,0.0,59.033934576582084,0.0,29.501681442983795,11.464383980434118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3271.0,8,0.29501681442983796,0.5903393457658208
ATA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.8421052631579,0.0,0.0,0.0,0.0,0.0,0.0,13.157894736842104,7.6,2,0.13157894736842105,0.8684210526315791
AUS,0.8951889946695027,38.78848598955574,0.0,30.38892537473721,0.0,12.940074606068249,0.0,1.6697590549088128,0.0,0.0,6.316693478298372,0.0,0.28643921850471527,0.0,8.714433283257419,65852.01599999999,486,0.2797120136762404,0.7084717041920175
AUT,0.0,0.0,0.0,18.410809559013458,0.0,80.80537271423609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.783817726750452,11227.1,103,0.8158919044098654,0.18410809559013458
AZE,0.0,0.0,0.0,41.464260929909784,0.0,16.897987508674532,0.0,41.63775156141568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5764.0,14,0.16897987508674533,0.8310201249132547
BDI,0.0,0.0,0.0,0.0,0.0,86.70631450061221,0.0,0.0,0.0,0.0,13.29368549938779,0.0,0.0,0.0,0.0,57.17,4,1.0,0.0
BEL,2.707985199331582,3.506206731916925,0.0,28.764323227500594,0.0,10.394037956552875,44.206552876581526,1.3577226068274049,0.0,0.0,0.8668536643590355,0.0,1.6665671998090235,0.0,6.52975053712103,13404.800000000001,69,0.1779064215803294,0.33628252566244926
